instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_FO|70540,70540,MIDCPNIFTY26MAY12675CE,MIDCPNIFTY,1174.85,2026-05-26,12675.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|70541,70541,MIDCPNIFTY26MAY12675PE,MIDCPNIFTY,192.45,2026-05-26,12675.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|70542,70542,MIDCPNIFTY26MAY12700CE,MIDCPNIFTY,1156.55,2026-05-26,12700.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|70543,70543,MIDCPNIFTY26MAY12700PE,MIDCPNIFTY,198.75,2026-05-26,12700.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|45596,45596,NIFTY2631025700PE,NIFTY,1656.6,2026-03-10,25700.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45597,45597,NIFTY2631025750CE,NIFTY,1.5,2026-03-10,25750.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45577,45577,NIFTY2631025600CE,NIFTY,1.8,2026-03-10,25600.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45578,45578,NIFTY2631025600PE,NIFTY,1555.75,2026-03-10,25600.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45579,45579,NIFTY2631025650CE,NIFTY,1.75,2026-03-10,25650.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|70551,70551,MIDCPNIFTY26MAY12775PE,MIDCPNIFTY,218.5,2026-05-26,12775.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|70550,70550,MIDCPNIFTY26MAY12775CE,MIDCPNIFTY,1102.5,2026-05-26,12775.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|45584,45584,NIFTY2631025650PE,NIFTY,1607.15,2026-03-10,25650.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45585,45585,NIFTY2631025700CE,NIFTY,1.45,2026-03-10,25700.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|70526,70526,MIDCPNIFTY26MAY12500CE,MIDCPNIFTY,1306.2,2026-05-26,12500.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|70527,70527,MIDCPNIFTY26MAY12500PE,MIDCPNIFTY,151.7,2026-05-26,12500.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|70528,70528,MIDCPNIFTY26MAY12525CE,MIDCPNIFTY,1286.95,2026-05-26,12525.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|70529,70529,MIDCPNIFTY26MAY12525PE,MIDCPNIFTY,157.05,2026-05-26,12525.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|70522,70522,MIDCPNIFTY26MAY12450CE,MIDCPNIFTY,1345.1,2026-05-26,12450.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|70523,70523,MIDCPNIFTY26MAY12450PE,MIDCPNIFTY,141.45,2026-05-26,12450.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|70524,70524,MIDCPNIFTY26MAY12475CE,MIDCPNIFTY,1325.6,2026-05-26,12475.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|70525,70525,MIDCPNIFTY26MAY12475PE,MIDCPNIFTY,146.5,2026-05-26,12475.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|70520,70520,MIDCPNIFTY26MAY12425CE,MIDCPNIFTY,1364.75,2026-05-26,12425.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|70521,70521,MIDCPNIFTY26MAY12425PE,MIDCPNIFTY,136.5,2026-05-26,12425.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|70537,70537,MIDCPNIFTY26MAY12625PE,MIDCPNIFTY,179.75,2026-05-26,12625.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|70538,70538,MIDCPNIFTY26MAY12650CE,MIDCPNIFTY,1192.75,2026-05-26,12650.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|70539,70539,MIDCPNIFTY26MAY12650PE,MIDCPNIFTY,185.75,2026-05-26,12650.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|70533,70533,MIDCPNIFTY26MAY12575PE,MIDCPNIFTY,168.1,2026-05-26,12575.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|70534,70534,MIDCPNIFTY26MAY12600CE,MIDCPNIFTY,1230.0,2026-05-26,12600.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|70535,70535,MIDCPNIFTY26MAY12600PE,MIDCPNIFTY,173.85,2026-05-26,12600.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|70536,70536,MIDCPNIFTY26MAY12625CE,MIDCPNIFTY,1211.3,2026-05-26,12625.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|70530,70530,MIDCPNIFTY26MAY12550CE,MIDCPNIFTY,1267.8,2026-05-26,12550.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|70531,70531,MIDCPNIFTY26MAY12550PE,MIDCPNIFTY,162.5,2026-05-26,12550.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|70532,70532,MIDCPNIFTY26MAY12575CE,MIDCPNIFTY,1248.85,2026-05-26,12575.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|45428,45428,NIFTY2631023300CE,NIFTY,773.75,2026-03-10,23300.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45429,45429,NIFTY2631023300PE,NIFTY,30.45,2026-03-10,23300.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45423,45423,NIFTY2631023200CE,NIFTY,864.8,2026-03-10,23200.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45424,45424,NIFTY2631023200PE,NIFTY,23.75,2026-03-10,23200.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45425,45425,NIFTY2631023250CE,NIFTY,825.4,2026-03-10,23250.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45426,45426,NIFTY2631023250PE,NIFTY,27.15,2026-03-10,23250.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45430,45430,NIFTY2631023350CE,NIFTY,728.7,2026-03-10,23350.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45431,45431,NIFTY2631023350PE,NIFTY,34.9,2026-03-10,23350.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45433,45433,NIFTY2631023400CE,NIFTY,680.4,2026-03-10,23400.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45418,45418,NIFTY2631023100PE,NIFTY,18.65,2026-03-10,23100.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45419,45419,NIFTY2631023150CE,NIFTY,909.65,2026-03-10,23150.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45412,45412,NIFTY2631023050CE,NIFTY,997.75,2026-03-10,23050.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45413,45413,NIFTY2631023050PE,NIFTY,16.95,2026-03-10,23050.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45414,45414,NIFTY2631023100CE,NIFTY,958.15,2026-03-10,23100.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45422,45422,NIFTY2631023150PE,NIFTY,21.25,2026-03-10,23150.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45445,45445,NIFTY2631023650PE,NIFTY,73.1,2026-03-10,23650.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45446,45446,NIFTY2631023700CE,NIFTY,431.65,2026-03-10,23700.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45452,45452,NIFTY2631023750CE,NIFTY,391.3,2026-03-10,23750.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45455,45455,NIFTY2631023750PE,NIFTY,93.25,2026-03-10,23750.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45450,45450,NIFTY2631023700PE,NIFTY,82.4,2026-03-10,23700.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45438,45438,NIFTY2631023500PE,NIFTY,50.75,2026-03-10,23500.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45439,45439,NIFTY2631023550CE,NIFTY,556.9,2026-03-10,23550.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45434,45434,NIFTY2631023400PE,NIFTY,39.35,2026-03-10,23400.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45435,45435,NIFTY2631023450CE,NIFTY,641.55,2026-03-10,23450.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45436,45436,NIFTY2631023450PE,NIFTY,44.45,2026-03-10,23450.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45437,45437,NIFTY2631023500CE,NIFTY,596.6,2026-03-10,23500.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45441,45441,NIFTY2631023600CE,NIFTY,512.15,2026-03-10,23600.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45443,45443,NIFTY2631023600PE,NIFTY,64.55,2026-03-10,23600.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45444,45444,NIFTY2631023650CE,NIFTY,471.25,2026-03-10,23650.0,0.05,65.0,OPTIDX,CE,NSE_FO
